Number,Japanese,English
0155,ヒノアラシ,Cyndaquil
0156,マグマラシ,Quilava
0157,バクフーン,Typhlosion
0158,ワニノコ,Totodile
0159,アリゲイツ,Croconaw
0160,オーダイル,Feraligatr
0161,オタチ,Sentret
0162,オオタチ,Furret
0163,ホーホー,Hoothoot
0164,ヨルノズク,Noctowl
0165,レディバ,Ledyba
0166,レディアン,Ledian
0167,イトマル,Spinarak
0168,アリアドス,Ariados
0169,クロバット,Crobat
0170,チョンチー,Chinchou
0171,ランターン,Lanturn
0172,ピチュー,Pichu
0173,ピィ,Cleffa
0174,ププリン,Igglybuff
0175,トゲピー,Togepi
0176,トゲチック,Togetic
0177,ネイティ,Natu
0178,ネイティオ,Xatu
0179,メリープ,Mareep
0180,モココ,Flaaffy
0181,デンリュウ,Ampharos
0182,キレイハナ,Bellossom
0183,マリル,Marill
0184,マリルリ,Azumarill
0185,ウソッキー,Sudowoodo
0186,ニョロトノ,Politoed
0187,ハネッコ,Hoppip
0188,ポポッコ,Skiploom
0189,ワタッコ,Jumpluff
0190,エイパム,Aipom
0191,ヒマナッツ,Sunkern
0192,キマワリ,Sunflora
0193,ヤンヤンマ,Yanma
0194,ウパー,Wooper
0195,ヌオー,Quagsire
0196,エーフィ,Espeon
0197,ブラッキー,Umbreon
0198,ヤミカラス,Murkrow
0199,ヤドキング,Slowking
0200,ムウマ,Misdreavus
0201,アンノーン,Unown
0202,ソーナンス,Wobbuffet
0203,キリンリキ,Girafarig
0204,クヌギダマ,Pineco
0205,フォレトス,Forretress
0206,ノコッチ,Dunsparce
0207,グライガー,Gligar
0208,ハガネール,Steelix
0209,ブルー,Snubbull
0210,グランブル,Granbull
0211,ハリーセン,Qwilfish
0212,ハッサム,Scizor
0213,ツボツボ,Shuckle
0214,ヘラクロス,Heracross
0215,ニューラ,Sneasel
0216,ヒメグマ,Teddiursa
0217,リングマ,Ursaring
0218,マグマッグ,Slugma
0219,マグカルゴ,Magcargo
0220,ウリムー,Swinub
0221,イノムー,Piloswine
0222,サニーゴ,Corsola
0223,テッポウオ,Remoraid
0224,オクタン,Octillery
0225,デリバード,Delibird
0226,マンタイン,Mantine
0227,エアームド,Skarmory
0228,デルビル,Houndour
0229,ヘルガー,Houndoom
0230,キングドラ,Kingdra
0231,ゴマゾウ,Phanpy
0232,ドンファン,Donphan
0233,ポリゴン２,Porygon2
0234,オドシシ,Stantler
0235,ドーブル,Smeargle
0236,バルキー,Tyrogue
0237,カポエラー,Hitmontop
0238,ムチュール,Smoochum
0239,エレキッド,Elekid
0240,ブビィ,Magby
0241,ミルタンク,Miltank
0242,ハピナス,Blissey
0243,ライコウ,Raikou
0244,エンテイ,Entei
0245,スイクン,Suicune
0246,ヨーギラス,Larvitar
0247,サナギラス,Pupitar
0248,バンギラス,Tyranitar
0249,ルギア,Lugia
0250,ホウオウ,Ho-Oh
0251,セレビィ,Celebi
0252,キモリ,Treecko
0253,ジュプトル,Grovyle
0254,ジュカイン,Sceptile
0255,アチャモ,Torchic
0256,ワカシャモ,Combusken
0257,バシャーモ,Blaziken
0258,ミズゴロウ,Mudkip
0259,ヌマクロー,Marshtomp
0260,ラグラージ,Swampert
0261,ポチエナ,Poochyena
0262,グラエナ,Mightyena
0263,ジグザグマ,Zigzagoon
0264,マッスグマ,Linoone
0265,ケムッソ,Wurmple
0266,カラサリス,Silcoon
0267,アゲハント,Beautifly
0268,マユルド,Cascoon
0269,ドクケイル,Dustox
0270,ハスボー,Lotad
0271,ハスブレロ,Lombre
0272,ルンパッパ,Ludicolo
0273,タネボー,Seedot
0274,コノハナ,Nuzleaf
0275,ダーテング,Shiftry
0276,スバメ,Taillow
0277,オオスバメ,Swellow
0278,キャモメ,Wingull
0279,ペリッパー,Pelipper
0280,ラルトス,Ralts
0281,キルリア,Kirlia
0282,サーナイト,Gardevoir
0283,アメタマ,Surskit
0284,アメモース,Masquerain
0285,キノココ,Shroomish
0286,キノガッサ,Breloom
0287,ナマケロ,Slakoth
0288,ヤルキモノ,Vigoroth
0289,ケッキング,Slaking
0290,ツチニン,Nincada
0291,テッカニン,Ninjask
0292,ヌケニン,Shedinja
0293,ゴニョニョ,Whismur
0294,ドゴーム,Loudred
0295,バクオング,Exploud
0296,マクノシタ,Makuhita
0297,ハリテヤマ,Hariyama
0298,ルリリ,Azurill
0299,ノズパス,Nosepass
0300,エネコ,Skitty
0301,エネコロロ,Delcatty
0302,ヤミラミ,Sableye
0303,クチート,Mawile
0304,ココドラ,Aron
0305,コドラ,Lairon
0306,ボスゴドラ,Aggron
0307,アサナン,Meditite
0308,チャーレム,Medicham
0309,ラクライ,Electrike
0310,ライボルト,Manectric
0311,プラスル,Plusle
0312,マイナン,Minun
0313,バルビート,Volbeat
0314,イルミーゼ,Illumise
0315,ロゼリア,Roselia
0316,ゴクリン,Gulpin
0317,マルノーム,Swalot
0318,キバニア,Carvanha
0319,サメハダー,Sharpedo
0320,ホエルコ,Wailmer
0321,ホエルオー,Wailord
0322,ドンメル,Numel
0323,バクーダ,Camerupt
0324,コータス,Torkoal
0325,バネブー,Spoink
0326,ブーピッグ,Grumpig
0327,パッチール,Spinda
0328,ナックラー,Trapinch
0329,ビブラーバ,Vibrava
0330,フライゴン,Flygon
0331,サボネア,Cacnea
0332,ノクタス,Cacturne
0333,チルット,Swablu
0334,チルタリス,Altaria
0335,ザングース,Zangoose
0336,ハブネーク,Seviper
0337,ルナトーン,Lunatone
0338,ソルロック,Solrock
0339,ドジョッチ,Barboach
0340,ナマズン,Whiscash
0341,ヘイガニ,Corphish
0342,シザリガー,Crawdaunt
0343,ヤジロン,Baltoy
0344,ネンドール,Claydol
0345,リリーラ,Lileep
0346,ユレイドル,Cradily
0347,アノプス,Anorith
0348,アーマルド,Armaldo
0349,ヒンバス,Feebas
0350,ミロカロス,Milotic
0351,ポワルン,Castform
0352,カクレオン,Kecleon
0353,カゲボウズ,Shuppet
0354,ジュペッタ,Banette
0355,ヨマワル,Duskull
0356,サマヨール,Dusclops
0357,トロピウス,Tropius
0358,チリーン,Chimecho
0359,アブソル,Absol
0360,ソーナノ,Wynaut
0361,ユキワラシ,Snorunt
0362,オニゴーリ,Glalie
0363,タマザラシ,Spheal
0364,トドグラー,Sealeo
0365,トドゼルガ,Walrein
0366,パールル,Clamperl
0367,ハンテール,Huntail
0368,サクラビス,Gorebyss
0369,ジーランス,Relicanth
0370,ラブカス,Luvdisc
0371,タツベイ,Bagon
0372,コモルー,Shelgon
0373,ボーマンダ,Salamence
0374,ダンバル,Beldum
0375,メタング,Metang
0376,メタグロス,Metagross
0377,レジロック,Regirock
0378,レジアイス,Regice
0379,レジスチル,Registeel
0380,ラティアス,Latias
0381,ラティオス,Latios
0382,カイオーガ,Kyogre
0383,グラードン,Groudon
0384,レックウザ,Rayquaza
0385,ジラーチ,Jirachi
0386,デオキシス,Deoxys
0387,ナエトル,Turtwig
0388,ハヤシガメ,Grotle
0389,ドダイトス,Torterra
0390,ヒコザル,Chimchar
0391,モウカザル,Monferno
0392,ゴウカザル,Infernape
0393,ポッチャマ,Piplup
0394,ポッタイシ,Prinplup
0395,エンペルト,Empoleon
0396,ムックル,Starly
0397,ムクバード,Staravia
0398,ムクホーク,Staraptor
0399,ビッパ,Bidoof
0400,ビーダル,Bibarel
0401,コロボーシ,Kricketot
0402,コロトック,Kricketune
0403,コリンク,Shinx
0404,ルクシオ,Luxio
0405,レントラー,Luxray
0406,スボミー,Budew
0407,ロズレイド,Roserade
0408,ズガイドス,Cranidos
0409,ラムパルド,Rampardos
0410,タテトプス,Shieldon
0411,トリデプス,Bastiodon
0412,ミノムッチ,Burmy
0413,ミノマダム,Wormadam
0414,ガーメイル,Mothim
0415,ミツハニー,Combee
0416,ビークイン,Vespiquen
0417,パチリス,Pachirisu
0418,ブイゼル,Buizel
0419,フローゼル,Floatzel
0420,チェリンボ,Cherubi
0421,チェリム,Cherrim
0422,カラナクシ,Shellos
0423,トリトドン,Gastrodon
0424,エテボース,Ambipom
0425,フワンテ,Drifloon
0426,フワライド,Drifblim
0427,ミミロル,Buneary
0428,ミミロップ,Lopunny
0429,ムウマージ,Mismagius
0430,ドンカラス,Honchkrow
0431,ニャルマー,Glameow
0432,ブニャット,Purugly
0433,リーシャン,Chingling
0434,スカンプー,Stunky
0435,スカタンク,Skuntank
0436,ドーミラー,Bronzor
0437,ドータクン,Bronzong
0438,ウソハチ,Bonsly
0439,マネネ,Mime Jr.
0440,ピンプク,Happiny
0441,ペラップ,Chatot
0442,ミカルゲ,Spiritomb
0443,フカマル,Gible
0444,ガバイト,Gabite
0445,ガブリアス,Garchomp
0446,ゴンベ,Munchlax
0447,リオル,Riolu
0448,ルカリオ,Lucario
0449,ヒポポタス,Hippopotas
0450,カバルドン,Hippowdon
0451,スコルピ,Skorupi
0452,ドラピオン,Drapion
0453,グレッグル,Croagunk
0454,ドクロッグ,Toxicroak
0455,マスキッパ,Carnivine
0456,ケイコウオ,Finneon
0457,ネオラント,Lumineon
0458,タマンタ,Mantyke
0459,ユキカブリ,Snover
0460,ユキノオー,Abomasnow
0461,マニューラ,Weavile
0462,ジバコイル,Magnezone
0463,ベロベルト,Lickilicky
0464,ドサイドン,Rhyperior
0465,モジャンボ,Tangrowth
0466,エレキブル,Electivire
0467,ブーバーン,Magmortar
0468,トゲキッス,Togekiss
0469,メガヤンマ,Yanmega
0470,リーフィア,Leafeon
0471,グレイシア,Glaceon
0472,グライオン,Gliscor
0473,マンムー,Mamoswine
0474,ポリゴンＺ,Porygon-Z
0475,エルレイド,Gallade
0476,ダイノーズ,Probopass
0477,ヨノワール,Dusknoir
0478,ユキメノコ,Froslass
0479,ロトム,Rotom
0480,ユクシー,Uxie
0481,エムリット,Mesprit
0482,アグノム,Azelf
0483,ディアルガ,Dialga
0484,パルキア,Palkia
0485,ヒードラン,Heatran
0486,レジギガス,Regigigas
0487,ギラティナ,Giratina
0488,クレセリア,Cresselia
0489,フィオネ,Phione
0490,マナフィ,Manaphy
0491,ダークライ,Darkrai
0492,シェイミ,Shaymin
0493,アルセウス,Arceus
0494,ビクティニ,Victini
0495,ツタージャ,Snivy
0496,ジャノビー,Servine
0497,ジャローダ,Serperior
0498,ポカブ,Tepig
0499,チャオブー,Pignite
0500,エンブオー,Emboar
0501,ミジュマル,Oshawott
0502,フタチマル,Dewott
0503,ダイケンキ,Samurott
0504,ミネズミ,Patrat
0505,ミルホッグ,Watchog
0506,ヨーテリー,Lillipup
0507,ハーデリア,Herdier
0508,ムーランド,Stoutland
0509,チョロネコ,Purrloin
0510,レパルダス,Liepard
0511,ヤナップ,Pansage
0512,ヤナッキー,Simisage
0513,バオップ,Pansear
0514,バオッキー,Simisear
0515,ヒヤップ,Panpour
0516,ヒヤッキー,Simipour
0517,ムンナ,Munna
0518,ムシャーナ,Musharna
0519,マメパト,Pidove
0520,ハトーボー,Tranquill
0521,ケンホロウ,Unfezant
0522,シママ,Blitzle
0523,ゼブライカ,Zebstrika
0524,ダンゴロ,Roggenrola
0525,ガントル,Boldore
0526,ギガイアス,Gigalith
0527,コロモリ,Woobat
0528,ココロモリ,Swoobat
0529,モグリュー,Drilbur
0530,ドリュウズ,Excadrill
0531,タブンネ,Audino
0532,ドッコラー,Timburr
0533,ドテッコツ,Gurdurr
0534,ローブシン,Conkeldurr
0535,オタマロ,Tympole
0536,ガマガル,Palpitoad
0537,ガマゲロゲ,Seismitoad
0538,ナゲキ,Throh
0539,ダゲキ,Sawk
0540,クルミル,Sewaddle
0541,クルマユ,Swadloon
0542,ハハコモリ,Leavanny
0543,フシデ,Venipede
0544,ホイーガ,Whirlipede
0545,ペンドラー,Scolipede
0546,モンメン,Cottonee
0547,エルフーン,Whimsicott
0548,チュリネ,Petilil
0549,ドレディア,Lilligant
0550,バスラオ,Basculin
0551,メグロコ,Sandile
0552,ワルビル,Krokorok
0553,ワルビアル,Krookodile
0554,ダルマッカ,Darumaka
0555,ヒヒダルマ,Darmanitan
0556,マラカッチ,Maractus
0557,イシズマイ,Dwebble
0558,イワパレス,Crustle
0559,ズルッグ,Scraggy
0560,ズルズキン,Scrafty
0561,シンボラー,Sigilyph
0562,デスマス,Yamask
0563,デスカーン,Cofagrigus
0564,プロトーガ,Tirtouga
0565,アバゴーラ,Carracosta
0566,アーケン,Archen
0567,アーケオス,Archeops
0568,ヤブクロン,Trubbish
0569,ダストダス,Garbodor
0570,ゾロア,Zorua
0571,ゾロアーク,Zoroark
0572,チラーミィ,Minccino
0573,チラチーノ,Cinccino
0574,ゴチム,Gothita
0575,ゴチミル,Gothorita
0576,ゴチルゼル,Gothitelle
0577,ユニラン,Solosis
0578,ダブラン,Duosion
0579,ランクルス,Reuniclus
0580,コアルヒー,Ducklett
0581,スワンナ,Swanna
0582,バニプッチ,Vanillite
0583,バニリッチ,Vanillish
0584,バイバニラ,Vanilluxe
0585,シキジカ,Deerling
0586,メブキジカ,Sawsbuck
0587,エモンガ,Emolga
0588,カブルモ,Karrablast
0589,シュバルゴ,Escavalier
0590,タマゲタケ,Foongus
0591,モロバレル,Amoonguss
0592,プルリル,Frillish
0593,ブルンゲル,Jellicent
0594,ママンボウ,Alomomola
0595,バチュル,Joltik
0596,デンチュラ,Galvantula
0597,テッシード,Ferroseed
0598,ナットレイ,Ferrothorn
0599,ギアル,Klink
0600,ギギアル,Klang
0601,ギギギアル,Klinklang
0602,シビシラス,Tynamo
0603,シビビール,Eelektrik
0604,シビルドン,Eelektross
0605,リグレー,Elgyem
0606,オーベム,Beheeyem
0607,ヒトモシ,Litwick
0608,ランプラー,Lampent
0609,シャンデラ,Chandelure
0610,キバゴ,Axew
0611,オノンド,Fraxure
0612,オノノクス,Haxorus
0613,クマシュン,Cubchoo
0614,ツンベアー,Beartic
0615,フリージオ,Cryogonal
0616,チョボマキ,Shelmet
0617,アギルダー,Accelgor
0618,マッギョ,Stunfisk
0619,コジョフー,Mienfoo
0620,コジョンド,Mienshao
0621,クリムガン,Druddigon
0622,ゴビット,Golett
0623,ゴルーグ,Golurk
0624,コマタナ,Pawniard
0625,キリキザン,Bisharp
0626,バッフロン,Bouffalant
0627,ワシボン,Rufflet
0628,ウォーグル,Braviary
0629,バルチャイ,Vullaby
0630,バルジーナ,Mandibuzz
0631,クイタラン,Heatmor
0632,アイアント,Durant
0633,モノズ,Deino
0634,ジヘッド,Zweilous
0635,サザンドラ,Hydreigon
0636,メラルバ,Larvesta
0637,ウルガモス,Volcarona
0638,コバルオン,Cobalion
0639,テラキオン,Terrakion
0640,ビリジオン,Virizion
0641,トルネロス,Tornadus
0642,ボルトロス,Thundurus
0643,レシラム,Reshiram
0644,ゼクロム,Zekrom
0645,ランドロス,Landorus
0646,キュレム,Kyurem
0647,ケルディオ,Keldeo
0648,メロエッタ,Meloetta
0649,ゲノセクト,Genesect
0650,ハリマロン,Chespin
0651,ハリボーグ,Quilladin
0652,ブリガロン,Chesnaught
0653,フォッコ,Fennekin
0654,テールナー,Braixen
0655,マフォクシー,Delphox
0656,ケロマツ,Froakie
0657,ゲコガシラ,Frogadier
0658,ゲッコウガ,Greninja
0659,ホルビー,Bunnelby
0660,ホルード,Diggersby
0661,ヤヤコマ,Fletchling
0662,ヒノヤコマ,Fletchinder
0663,ファイアロー,Talonflame
0664,コフキムシ,Scatterbug
0665,コフーライ,Spewpa
0666,ビビヨン,Vivillon
0667,シシコ,Litleo
0668,カエンジシ,Pyroar
0669,フラベベ,Flabébé
0670,フラエッテ,Floette
0671,フラージェス,Florges
0672,メェークル,Skiddo
0673,ゴーゴート,Gogoat
0674,ヤンチャム,Pancham
0675,ゴロンダ,Pangoro
0676,トリミアン,Furfrou
0677,ニャスパー,Espurr
0678,ニャオニクス,Meowstic
0679,ヒトツキ,Honedge
0680,ニダンギル,Doublade
0681,ギルガルド,Aegislash
0682,シュシュプ,Spritzee
0683,フレフワン,Aromatisse
0684,ペロッパフ,Swirlix
0685,ペロリーム,Slurpuff
0686,マーイーカ,Inkay
0687,カラマネロ,Malamar
0688,カメテテ,Binacle
0689,ガメノデス,Barbaracle
0690,クズモー,Skrelp
0691,ドラミドロ,Dragalge
0692,ウデッポウ,Clauncher
0693,ブロスター,Clawitzer
0694,エリキテル,Helioptile
0695,エレザード,Heliolisk
0696,チゴラス,Tyrunt
0697,ガチゴラス,Tyrantrum
0698,アマルス,Amaura
0699,アマルルガ,Aurorus
0700,ニンフィア,Sylveon
0701,ルチャブル,Hawlucha
0702,デデンネ,Dedenne
0703,メレシー,Carbink
0704,ヌメラ,Goomy
0705,ヌメイル,Sliggoo
0706,ヌメルゴン,Goodra
0707,クレッフィ,Klefki
0708,ボクレー,Phantump
0709,オーロット,Trevenant
0710,バケッチャ,Pumpkaboo
0711,パンプジン,Gourgeist
0712,カチコール,Bergmite
0713,クレベース,Avalugg
0714,オンバット,Noibat
0715,オンバーン,Noivern
0716,ゼルネアス,Xerneas
0717,イベルタル,Yveltal
0718,ジガルデ,Zygarde
0719,ディアンシー,Diancie
0720,フーパ,Hoopa
0721,ボルケニオン,Volcanion
0722,モクロー,Rowlet
0723,フクスロー,Dartrix
0724,ジュナイパー,Decidueye
0725,ニャビー,Litten
0726,ニャヒート,Torracat
0727,ガオガエン,Incineroar
0728,アシマリ,Popplio
0729,オシャマリ,Brionne
0730,アシレーヌ,Primarina
0731,ツツケラ,Pikipek
0732,ケララッパ,Trumbeak
0733,ドデカバシ,Toucannon
0734,ヤングース,Yungoos
0735,デカグース,Gumshoos
0736,アゴジムシ,Grubbin
0737,デンヂムシ,Charjabug
0738,クワガノン,Vikavolt
0739,マケンカニ,Crabrawler
0740,ケケンカニ,Crabominable
0741,オドリドリ,Oricorio
0742,アブリー,Cutiefly
0743,アブリボン,Ribombee
0744,イワンコ,Rockruff
0745,ルガルガン,Lycanroc
0746,ヨワシ,Wishiwashi
0747,ヒドイデ,Mareanie
0748,ドヒドイデ,Toxapex
0749,ドロバンコ,Mudbray
0750,バンバドロ,Mudsdale
0751,シズクモ,Dewpider
0752,オニシズクモ,Araquanid
0753,カリキリ,Fomantis
0754,ラランテス,Lurantis
0755,ネマシュ,Morelull
0756,マシェード,Shiinotic
0757,ヤトウモリ,Salandit
0758,エンニュート,Salazzle
0759,ヌイコグマ,Stufful
0760,キテルグマ,Bewear
0761,アマカジ,Bounsweet
0762,アママイコ,Steenee
0763,アマージョ,Tsareena
0764,キュワワー,Comfey
0765,ヤレユータン,Oranguru
0766,ナゲツケサル,Passimian
0767,コソクムシ,Wimpod
0768,グソクムシャ,Golisopod
0769,スナバァ,Sandygast
0770,シロデスナ,Palossand
0771,ナマコブシ,Pyukumuku
0772,タイプ：ヌル,Type: Null
0773,シルヴァディ,Silvally
0774,メテノ,Minior
0775,ネッコアラ,Komala
0776,バクガメス,Turtonator
0777,トゲデマル,Togedemaru
0778,ミミッキュ,Mimikyu
0779,ハギギシリ,Bruxish
0780,ジジーロン,Drampa
0781,ダダリン,Dhelmise
0782,ジャラコ,Jangmo-o
0783,ジャランゴ,Hakamo-o
0784,ジャラランガ,Kommo-o
0785,カプ・コケコ,Tapu Koko
0786,カプ・テテフ,Tapu Lele
0787,カプ・ブルル,Tapu Bulu
0788,カプ・レヒレ,Tapu Fini
0789,コスモッグ,Cosmog
0790,コスモウム,Cosmoem
0791,ソルガレオ,Solgaleo
0792,ルナアーラ,Lunala
0793,ウツロイド,Nihilego
0794,マッシブーン,Buzzwole
0795,フェローチェ,Pheromosa
0796,デンジュモク,Xurkitree
0797,テッカグヤ,Celesteela
0798,カミツルギ,Kartana
0799,アクジキング,Guzzlord
0800,ネクロズマ,Necrozma
0801,マギアナ,Magearna
0802,マーシャドー,Marshadow
0803,ベベノム,Poipole
0804,アーゴヨン,Naganadel
0805,ツンデツンデ,Stakataka
0806,ズガドーン,Blacephalon
0807,ゼラオラ,Zeraora
0808,メルタン,Meltan
0809,メルメタル,Melmetal
0810,サルノリ,Grookey
0811,バチンキー,Thwackey
0812,ゴリランダー,Rillaboom
0813,ヒバニー,Scorbunny
0814,ラビフット,Raboot
0815,エースバーン,Cinderace
0816,メッソン,Sobble
0817,ジメレオン,Drizzile
0818,インテレオン,Inteleon
0819,ホシガリス,Skwovet
0820,ヨクバリス,Greedent
0821,ココガラ,Rookidee
0822,アオガラス,Corvisquire
0823,アーマーガア,Corviknight
0824,サッチムシ,Blipbug
0825,レドームシ,Dottler
0826,イオルブ,Orbeetle
0827,クスネ,Nickit
0828,フォクスライ,Thievul
0829,ヒメンカ,Gossifleur
0830,ワタシラガ,Eldegoss
0831,ウールー,Wooloo
0832,バイウールー,Dubwool
0833,カムカメ,Chewtle
0834,カジリガメ,Drednaw
0835,ワンパチ,Yamper
0836,パルスワン,Boltund
0837,タンドン,Rolycoly
0838,トロッゴン,Carkol
0839,セキタンザン,Coalossal
0840,カジッチュ,Applin
0841,アップリュー,Flapple
0842,タルップル,Appletun
0843,スナヘビ,Silicobra
0844,サダイジャ,Sandaconda
0845,ウッウ,Cramorant
0846,サシカマス,Arrokuda
0847,カマスジョー,Barraskewda
0848,エレズン,Toxel
0849,ストリンダー,Toxtricity
0850,ヤクデ,Sizzlipede
0851,マルヤクデ,Centiskorch
0852,タタッコ,Clobbopus
0853,オトスパス,Grapploct
0854,ヤバチャ,Sinistea
0855,ポットデス,Polteageist
0856,ミブリム,Hatenna
0857,テブリム,Hattrem
0858,ブリムオン,Hatterene
0859,ベロバー,Impidimp
0860,ギモー,Morgrem
0861,オーロンゲ,Grimmsnarl
0862,タチフサグマ,Obstagoon
0863,ニャイキング,Perrserker
0864,サニゴーン,Cursola
0865,ネギガナイト,Sirfetch'd
0866,バリコオル,Mr. Rime
0867,デスバーン,Runerigus
0868,マホミル,Milcery
0869,マホイップ,Alcremie
0870,タイレーツ,Falinks
0871,バチンウニ,Pincurchin
0872,ユキハミ,Snom
0873,モスノウ,Frosmoth
0874,イシヘンジン,Stonjourner
0875,コオリッポ,Eiscue
0876,イエッサン,Indeedee
0877,モルペコ,Morpeko
0878,ゾウドウ,Cufant
0879,ダイオウドウ,Copperajah
0880,パッチラゴン,Dracozolt
0881,パッチルドン,Arctozolt
0882,ウオノラゴン,Dracovish
0883,ウオチルドン,Arctovish
0884,ジュラルドン,Duraludon
0885,ドラメシヤ,Dreepy
0886,ドロンチ,Drakloak
0887,ドラパルト,Dragapult
0888,ザシアン,Zacian
0889,ザマゼンタ,Zamazenta
0890,ムゲンダイナ,Eternatus
0891,ダクマ,Kubfu
0892,ウーラオス,Urshifu
0893,ザルード,Zarude
0894,レジエレキ,Regieleki
0895,レジドラゴ,Regidrago
0896,ブリザポス,Glastrier
0897,レイスポス,Spectrier
0898,バドレックス,Calyrex
0899,アヤシシ,Wyrdeer
0900,バサギリ,Kleavor
0901,ガチグマ,Ursaluna
0902,イダイトウ,Basculegion
0903,オオニューラ,Sneasler
0904,ハリーマン,Overqwil
0905,ラブトロス,Enamorus
0906,ニャオハ,Sprigatito
0907,ニャローテ,Floragato
0908,マスカーニャ,Meowscarada
0909,ホゲータ,Fuecoco
0910,アチゲータ,Crocalor
0911,ラウドボーン,Skeledirge
0912,クワッス,Quaxly
0913,ウェルカモ,Quaxwell
